gen,family,species,sub_species,common_name,recordist,date,time,country,location,lat,lng,bird,file_name,weights,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,gmm_cluster,gmm_prob_0,gmm_prob_1,gmm_prob_2,gmm_prob_3,gmm_prob_4,gmm_prob_5,gmm_prob_6,gmm_prob_7,oscine_group
Ptilonorhynchus,Ptilonorhynchidae (Bowerbirds),Ptilonorhynchus_violaceus,,Satin Bowerbird,Marta Celej,2023-08-19,07:30,Australia,"O'Reilly, Scenic Rim Regional, Queensland",-28.2149,153.1494,854454,Ptilonorhynchus_violaceus_854454_seg5.wav,0.032258064516129,239.40543,-7.7098904,31.986502,-4.7881637,1.368322,5.323517,3.487262,9.651459,2.7049708,2.8461165,7.9950376,3.492416,0.07802463,-1.1905706,-9.08961,7.618388,-0.50122696,2.124205,3.016785,-0.54602575,4.5954204,2.2857516,-2.8313444,-1.0424439,3.4428601,-0.3130332,-5.7551165,-0.9442298,-1.427144,0.91625315,1.9362606,-3.9146092,1.1786374,0.8877659,-0.914732,-2.3141823,-0.5448508,1,3.1205766907938925e-05,0.5052300040303477,1.0205226443638297e-07,1.0305120046763563e-10,5.006670416291547e-05,0.021836197682967313,0.06392704971075547,0.4089253739495408,Oscines
Ptilonorhynchus,Ptilonorhynchidae (Bowerbirds),Ptilonorhynchus_violaceus,,Satin Bowerbird,Marta Celej,2023-08-19,07:30,Australia,"O'Reilly, Scenic Rim Regional, Queensland",-28.2149,153.1494,854454,Ptilonorhynchus_violaceus_854454_seg4.wav,0.032258064516129,258.19147,-6.4991918,29.082838,-6.5804143,9.176461,-2.9886796,5.041818,2.2772205,0.74928933,2.9266615,7.494398,0.45355183,0.6164688,-2.7951007,0.54787153,2.7467482,0.66214377,1.2149572,-2.7444458,2.7506323,-0.6177697,-4.237097,-3.9192867,0.3985751,-1.3489286,-0.5917597,-1.740534,-2.3490462,-0.7016633,-0.21200994,2.5231085,0.6349969,-2.454904,-3.398056,0.23880863,-1.8264465,1.741718,1,1.6937005439108604e-06,0.9914480761671781,1.688284816290715e-08,1.67528747183058e-06,2.1518939861839302e-07,2.981351768793404e-05,0.008515560387904008,2.9488669684736827e-06,Oscines
Ptilonorhynchus,Ptilonorhynchidae (Bowerbirds),Ptilonorhynchus_violaceus,violaceus,Satin Bowerbird,Marc Anderson,2013-11-24,10:30,Australia,"Barren Grounds, New South Wales",-34.6757,150.7072,171965,Ptilonorhynchus_violaceus_171965_seg11.wav,0.032258064516129,230.65099,-4.143858,-5.38293,1.0419234,13.064255,15.416403,-2.108399,0.20260476,3.2960436,-0.27654937,-1.0516361,-0.2664029,-1.1154227,8.270913,0.31122395,-2.6983175,-3.276889,0.44625133,0.7614069,-3.6762464,0.71345156,-1.4212791,0.6678806,-0.29876083,0.45144674,0.49684086,-1.1805726,2.9198837,0.86175764,-3.2940307,-1.8813422,-1.5205648,0.31681633,-0.3922844,0.3760929,1.1589775,-0.7942371,3,5.120302844034954e-24,1.5314064559695197e-07,2.1857720655593946e-06,0.7738923185888882,1.7462395516573013e-07,5.326166056328757e-07,0.22607685023794424,2.7785019895284316e-05,Oscines
Ptilonorhynchus,Ptilonorhynchidae (Bowerbirds),Ptilonorhynchus_violaceus,,Satin Bowerbird,Marta Celej,2023-08-19,07:30,Australia,"O'Reilly, Scenic Rim Regional, Queensland",-28.2149,153.1494,854454,Ptilonorhynchus_violaceus_854454_seg6.wav,0.032258064516129,228.71806,7.1080956,17.5271,4.496784,-5.940049,12.865767,4.932834,-3.4147182,-2.1488943,9.152733,2.3764036,1.7660847,1.1375701,-1.4377813,-2.4279523,4.8664846,2.620163,5.0952983,2.2099345,-2.2612321,2.0376124,0.72029954,-2.743232,-0.5088723,0.40104085,2.280112,-2.470083,-1.6046258,-0.707079,-4.0176344,-1.6297072,3.6305547,1.6219182,0.25858116,-1.7930422,0.06864929,0.67839235,1,2.350903659385058e-08,0.9643288729066984,1.4885068269841892e-07,0.0006855732205525698,1.6041950584075636e-06,1.75212155188589e-06,0.034976582042684654,5.4431537360457065e-06,Oscines
Ptilonorhynchus,Ptilonorhynchidae (Bowerbirds),Ptilonorhynchus_violaceus,violaceus,Satin Bowerbird,Marc Anderson,2013-11-24,10:30,Australia,"Barren Grounds, New South Wales",-34.6757,150.7072,171965,Ptilonorhynchus_violaceus_171965_seg5.wav,0.032258064516129,225.59653,13.077005,-4.261598,8.001784,10.685633,6.9925327,-1.7072519,1.7999779,2.173832,0.31450382,-2.7569275,-2.9898942,-1.2799556,2.2082198,1.9838208,1.51576,-2.5965357,-0.7155851,1.3941259,1.4997678,1.3458437,0.17811735,3.1546762,-1.3121892,0.6190847,-3.2736707,-0.7676292,2.6792223,0.42257616,-2.1096559,-1.4788096,0.42945474,-1.7725997,-1.5796413,-0.35999584,1.9043941,-1.1315901,3,1.0456190113449132e-28,3.0908085909920035e-09,4.085337397335563e-07,0.9990907255444894,2.576446091418972e-10,3.35986219525386e-10,0.0009088574779640005,4.759367572686289e-09,Oscines
Ptilonorhynchus,Ptilonorhynchidae (Bowerbirds),Ptilonorhynchus_violaceus,violaceus,Satin Bowerbird,Marc Anderson,2012-04-10,09:30,Australia,Royal National Park NSW,-33.3824,151.0704,134247,Ptilonorhynchus_violaceus_134247_seg4.wav,0.032258064516129,255.1184,-20.172577,-9.615905,-10.2259865,16.622847,12.989638,3.0734823,3.0954878,12.796243,-4.7527275,2.3658004,-1.4499931,2.0959988,7.191487,5.262077,-2.47097,3.3246357,-2.8433347,1.7471937,-1.2763509,-3.0108843,0.058067545,1.5165673,-4.2344236,2.3485756,-3.0680249,-7.2252407,4.6729407,-5.033705,-1.6601981,-0.7184137,-3.9828749,-3.7811012,4.1827755,0.9826851,0.6607704,-1.1438247,7,1.353701372544655e-31,9.44707244670474e-11,2.993875381731243e-08,9.958633602490074e-10,0.00015467855297752025,0.010274000795419683,0.033148473419198986,0.9564228162033186,Oscines
Ptilonorhynchus,Ptilonorhynchidae (Bowerbirds),Ptilonorhynchus_violaceus,violaceus,Satin Bowerbird,Marc Anderson,2013-11-24,10:30,Australia,"Barren Grounds, New South Wales",-34.6757,150.7072,171965,Ptilonorhynchus_violaceus_171965_seg4.wav,0.032258064516129,226.63925,-14.487358,8.58255,1.6595533,10.1531,12.00175,-1.9811742,-1.5639569,-5.3440285,7.169455,2.2305472,1.3740805,-7.985618,12.700331,-0.034380097,5.173141,-4.961442,-6.717518,1.0966927,1.8730732,0.046737395,-3.452705,3.112372,0.08020205,-2.3739018,1.0506501,-2.6894808,4.3195143,0.43404377,-0.2785104,-3.4173336,0.60588723,0.7676906,-1.0233841,-2.134799,3.9449444,1.67976,4,2.62238259423168e-05,2.5297500203023833e-09,2.819111007518738e-06,0.00012438818865076598,0.6880507307076341,0.0022966565820595752,0.2756571221582272,0.033842056896731705,Oscines
Ptilonorhynchus,Ptilonorhynchidae (Bowerbirds),Ptilonorhynchus_violaceus,violaceus,Satin Bowerbird,Marc Anderson,2012-04-10,09:30,Australia,Royal National Park NSW,-33.3824,151.0704,134247,Ptilonorhynchus_violaceus_134247_seg5.wav,0.032258064516129,254.8068,-18.353632,-12.037787,-8.137135,19.481892,11.050422,-3.081168,-2.896643,10.124161,-2.595129,-3.7792823,-4.131422,1.6140212,5.403697,3.642491,-1.7854382,0.3270165,-3.3738353,1.4725689,0.1479454,-1.8246545,1.5476185,1.0783716,-1.9389282,2.3237774,1.247183,-1.513538,1.565448,-2.7333672,-3.4312108,-6.144329,-3.4394107,-0.5943436,-1.3635292,-4.600149,3.5487347,0.9643547,6,4.53921965307421e-32,1.2678106304961414e-12,4.9447761301272465e-06,0.013886415904273712,1.9979642168574057e-06,7.812836161941607e-05,0.9451059919359718,0.04092252105651931,Oscines
Ptilonorhynchus,Ptilonorhynchidae (Bowerbirds),Ptilonorhynchus_violaceus,violaceus,Satin Bowerbird,Marc Anderson,2012-04-10,09:30,Australia,Royal National Park NSW,-33.3824,151.0704,134247,Ptilonorhynchus_violaceus_134247_seg7.wav,0.032258064516129,220.1327,2.363926,9.675461,-0.37394354,15.699033,11.702688,1.2600695,8.17971,8.970088,-1.1077156,0.014409418,-3.7249022,1.0341955,1.695109,4.550218,-7.4349747,-4.194477,2.1267686,-1.4292516,1.5062815,-0.4093359,2.445072,-2.3386798,-1.5161455,-2.4646254,1.7632562,-2.879442,-1.6814615,-2.6795282,0.019933533,-3.7453403,-0.023193246,-0.5297241,3.111579,-1.1287432,-0.7408047,-2.7227857,6,4.562169001295059e-27,0.00270876240299558,4.1647210544436624e-05,0.1003747075115794,6.851738761594461e-05,0.0003786585076886895,0.882138064637509,0.014289642342064767,Oscines
Ptilonorhynchus,Ptilonorhynchidae (Bowerbirds),Ptilonorhynchus_violaceus,violaceus,Satin Bowerbird,Marc Anderson,2013-07-10,09:00,Australia,"Watagan National Park (near  Laguna), New South Wales",-33.005,151.3931,146089,Ptilonorhynchus_violaceus_146089_seg4.wav,0.032258064516129,205.99628,2.3325226,-0.32968405,9.621444,15.013341,15.202143,1.0874807,-0.8789836,3.8037665,5.1715713,2.3037603,1.48273,2.7103763,-0.46290267,-12.284551,7.2315,-1.5942736,1.664953,-0.563429,3.140857,2.054521,-0.742637,0.7436514,1.3732969,1.3952298,-3.0183678,-2.6823752,1.9029957,-1.2004781,-4.2990184,-5.8289948,-3.2443407,0.20469439,2.0328941,-3.6673145,1.3693695,-1.0027765,6,4.1536440233557e-24,3.0405932298084734e-10,2.020297773093309e-06,3.704326477214131e-08,2.7974092333759925e-05,1.315768323047117e-06,0.8763896147881679,0.12357903770607712,Oscines
